Date,BTCUSDT Close,LTCUSDT Close
2022-03-28,47049.40000000,130.20000000
2022-03-29,47335.06000000,128.90000000
2022-03-30,47435.46000000,128.10000000
2022-03-31,47095.56000000,131.40000000
2022-04-01,44599.98000000,121.00000000
2022-04-02,46599.93000000,126.20000000
2022-04-03,45943.25000000,125.00000000
2022-04-04,46005.44000000,125.80000000
2022-04-05,46645.82000000,125.00000000
2022-04-06,45215.88000000,120.00000000
2022-04-07,43294.04000000,112.00000000
2022-04-08,43605.96000000,114.50000000
2022-04-09,42380.00000000,110.90000000
2022-04-10,42785.72000000,112.50000000
2022-04-11,42111.22000000,108.30000000
2022-04-12,39747.13000000,102.40000000
2022-04-13,40076.05000000,105.00000000
2022-04-14,41320.00000000,111.90000000
2022-04-15,40200.94000000,110.30000000
2022-04-16,40434.12000000,111.80000000
2022-04-17,40230.86000000,113.70000000
2022-04-18,39813.17000000,109.70000000
2022-04-19,40693.79000000,111.80000000
2022-04-20,41386.14000000,112.60000000
2022-04-21,41693.58000000,112.40000000
2022-04-22,40502.11000000,107.10000000
2022-04-23,39463.02000000,105.60000000
2022-04-24,39776.57000000,105.30000000
2022-04-25,39253.71000000,101.90000000
2022-04-26,40535.29000000,104.40000000
2022-04-27,38343.18000000,99.40000000
2022-04-28,39342.07000000,100.10000000
2022-04-29,39533.01000000,102.90000000
2022-04-30,38656.37000000,101.20000000
2022-05-01,38041.44000000,96.10000000
2022-05-02,38674.10000000,100.10000000
2022-05-03,38521.64000000,101.20000000
2022-05-04,38013.62000000,100.00000000
2022-05-05,39729.41000000,106.10000000
2022-05-06,36461.82000000,97.00000000
2022-05-07,35812.21000000,95.80000000
2022-05-08,34480.24000000,93.20000000
2022-05-09,33563.15000000,91.70000000
2022-05-10,30642.55000000,78.20000000
2022-05-11,31205.96000000,79.40000000
2022-05-12,28406.15000000,62.10000000
2022-05-13,30582.54000000,69.60000000
2022-05-14,29569.89000000,68.90000000
2022-05-15,29721.65000000,66.90000000
2022-05-16,30323.23000000,68.30000000
2022-05-17,30363.59000000,70.60000000
2022-05-18,29831.40000000,71.30000000
2022-05-19,29196.78000000,67.50000000
2022-05-20,30175.03000000,69.30000000
2022-05-21,29258.18000000,69.70000000
2022-05-22,29363.50000000,69.90000000
2022-05-23,30171.32000000,71.20000000
2022-05-24,29299.92000000,69.90000000
2022-05-25,30198.09000000,71.10000000
2022-05-26,29837.16000000,68.10000000
2022-05-27,29020.01000000,62.90000000
2022-05-28,28819.20000000,62.30000000
2022-05-29,28984.32000000,62.20000000
