Date,Open,High,Low,Close,Volume,OpenInterest
1644022800.0,41471.41000000,41535.73000000,41193.44000000,41274.08000000,1612.08923000,0.0
1644026400.0,41274.08000000,41447.08000000,41173.36000000,41363.96000000,976.72246000,0.0
1644030000.0,41363.96000000,41471.00000000,41341.37000000,41447.85000000,860.91629000,0.0
1644033600.0,41447.85000000,41693.90000000,41369.69000000,41465.42000000,1277.42961000,0.0
1644037200.0,41465.43000000,41656.25000000,41376.50000000,41525.27000000,1176.39063000,0.0
1644040800.0,41525.26000000,41748.18000000,41480.41000000,41499.99000000,1083.03504000,0.0
1644044400.0,41500.00000000,41501.91000000,41373.27000000,41379.99000000,1074.39390000,0.0
1644048000.0,41379.99000000,41600.10000000,41315.68000000,41436.23000000,1672.49856000,0.0
1644051600.0,41437.62000000,41564.28000000,41099.92000000,41547.36000000,1282.88455000,0.0
1644055200.0,41547.36000000,41669.00000000,41418.41000000,41565.86000000,937.06959000,0.0
1644058800.0,41565.86000000,41633.39000000,41382.00000000,41430.00000000,1327.96761000,0.0
1644062400.0,41430.00000000,41513.60000000,41334.70000000,41379.13000000,1266.11873000,0.0
1644066000.0,41379.12000000,41545.82000000,41348.62000000,41510.69000000,1370.62360000,0.0
1644069600.0,41510.70000000,41755.30000000,41385.46000000,41458.73000000,1279.33130000,0.0
1644073200.0,41458.73000000,41899.54000000,41326.17000000,41761.85000000,2100.85308000,0.0
1644076800.0,41761.87000000,41854.81000000,41230.00000000,41283.81000000,1777.76781000,0.0
1644080400.0,41283.81000000,41686.28000000,40843.01000000,41583.93000000,2699.97121000,0.0
1644084000.0,41583.94000000,41742.45000000,41505.79000000,41683.89000000,773.47937000,0.0
1644087600.0,41683.89000000,41688.18000000,41487.04000000,41544.90000000,664.24227000,0.0
1644091200.0,41544.90000000,41696.50000000,41380.11000000,41644.00000000,774.54589000,0.0
1644094800.0,41647.78000000,41771.85000000,41555.55000000,41627.47000000,618.95127000,0.0
1644098400.0,41627.48000000,41757.35000000,41558.17000000,41579.88000000,490.23034000,0.0
1644102000.0,41579.89000000,41643.47000000,41349.81000000,41382.59000000,675.77084000,0.0
1644105600.0,41382.60000000,41526.22000000,41340.35000000,41478.68000000,495.10741000,0.0
